512.588	78.95	
512.943	79.58	
513.298	79.64	
513.653	79.92	
514.007	80.16	
514.362	79.82	
514.717	80.12	
515.072	80.15	
515.426	80.52	
515.781	80.51	
516.135	80.79	
516.49	80.53	
516.844	81.07	
517.199	80.98	
517.553	81.17	
517.907	81.29	
518.262	81.45	
518.616	81.4	
518.97	81.65	
519.325	81.72	
519.679	81.78	
520.033	82.33	
520.387	82.05	
520.741	82.17	
521.095	82.11	
521.449	82.37	
521.803	82.12	
522.157	82.25	
522.511	82.29	
522.865	82.33	
523.219	82.58	
523.573	82.57	
523.927	82.15	
524.28	82.64	
524.634	82.95	
524.988	82.3	
525.341	82.8	
525.695	82.88	
526.049	82.91	
526.402	82.78	
526.756	83	
527.109	82.82	
527.463	83.19	
527.816	83.13	
528.169	82.89	
528.523	83.39	
528.876	83.57	
529.229	83.04	
529.583	83.45	
529.936	83.68	
530.289	83.35	
530.642	83.77	
530.995	83.67	
531.348	83.68	
531.701	83.55	
532.054	83.58	
532.407	83.34	
532.76	83.85	
533.113	83.55	
533.466	83.64	
533.819	83.86	
534.171	83.97	
534.524	84.2	
534.877	83.6	
535.23	83.93	
535.582	84.04	
535.935	83.82	
536.287	83.88	
536.64	83.75	
536.993	84.36	
537.345	84.34	
537.697	83.99	
538.05	84.07	
538.402	83.94	
538.755	84.15	
539.107	83.99	
539.459	84.18	
539.811	84.16	
540.164	84.02	
540.516	84.27	
540.868	84.39	
541.22	84.31	
541.572	84.68	
541.924	84.55	
542.276	84.21	
542.628	84.34	
542.98	84.49	
543.332	84.16	
543.684	84.07	
544.035	84.54	
544.387	84.4	
544.739	84.33	
545.091	84.34	
545.442	84.39	
545.794	84.47	
546.145	84.47	
546.497	84.4	
546.849	84.39	
547.2	84.6	
547.552	84.46	
547.903	84.57	
548.254	84.25	
548.606	84.38	
548.957	84.58	
549.308	84.54	
549.66	84.42	
550.011	84.68	
550.362	84.65	
550.713	84.74	
551.064	84.74	
551.415	84.53	
551.766	84.59	
552.117	84.44	
552.468	84.64	
552.819	84.39	
553.17	84.78	
553.521	84.27	
553.872	84.53	
554.223	84.8	
554.573	84.51	
554.924	84.63	
555.275	84.65	
555.625	84.6	
555.976	84.34	
556.326	84.51	
556.677	84.39	
557.028	84.65	
557.378	84.37	
557.728	84.54	
558.079	84.7	
558.429	84.64	
558.779	84.68	
559.13	84.7	
559.48	84.6	
559.83	84.57	
560.18	84.64	
560.531	84.23	
560.881	84.53	
561.231	84.33	
561.581	84.45	
561.931	84.42	
562.281	84.32	
562.631	84.39	
562.981	84.32	
563.33	84.72	
563.68	84.73	
564.03	84.62	
564.38	84.54	
564.729	84.65	
565.079	84.57	
565.429	84.44	
565.778	84.33	
566.128	84.4	
566.478	84.58	
566.827	84.91	
567.176	84.59	
567.526	84.78	
567.875	84.9	
568.225	84.57	
568.574	84.63	
568.923	84.63	
569.272	84.35	
569.622	84.56	
569.971	84.54	
570.32	84.81	
570.669	84.87	
571.018	84.73	
571.367	84.67	
571.716	84.69	
572.065	84.58	
572.414	84.53	
572.763	84.55	
573.112	84.52	
573.461	84.81	
573.809	84.44	
574.158	84.52	
574.507	84.71	
574.855	84.61	
575.204	84.44	
575.553	84.46	
575.901	84.54	
576.25	84.24	
576.598	84.5	
576.947	84.36	
577.295	84.63	
577.644	84.19	
577.992	84.5	
578.34	84.66	
578.688	84.63	
579.037	84.64	
579.385	84.47	
579.733	84.58	
580.081	84.62	
580.429	84.71	
580.777	84.68	
581.125	84.39	
581.473	84.28	
581.821	84.52	
582.169	84.64	
582.517	84.46	
582.865	84.17	
